Device_ID,Latitude,Longitude,Start_time,End_time,Category,Category11,Gender,Gender01,Age,Date,Days01,Days,Days07,Week,Timeframe,Timeframehh,Duration,Likelihood1,Probability1,Likelihood2
1,41.879604,-87.633664,8:00,8:10,Fast Food,0,Male,0,25,5-Oct-20,1,M,1,41,8:00:00 AM,08,10,0.875,0.538461538,0.875
1,41.877677,-87.634251,8:15,8:20,Parking,8,Male,0,25,5-Oct-20,1,M,1,41,8:00:00 AM,08,5,1,1,1
1,41.880653,-87.63648,8:30,12:00,Work,10,Male,0,25,5-Oct-20,1,M,1,41,8:00:00 AM,08,210,1,1,1
1,41.897865,-87.630874,17:30,23:59,Home,2,Male,0,25,5-Oct-20,1,M,1,41,6:00:00 PM,18,389,1,0.25,1
2,41.879604,-87.633664,7:30,8:30,Fast Food,0,Female,1,27,5-Oct-20,1,M,1,41,8:00:00 AM,08,60,0.75,0.461538462,0.75
2,41.880653,-87.63648,9:00,17:00,Work,10,Female,1,27,5-Oct-20,1,M,1,41,10:00:00 AM,10,480,1,0.210526316,1
2,41.897865,-87.630874,17:45,23:59,Home,2,Female,1,27,5-Oct-20,1,M,1,41,6:00:00 PM,18,374,1,0.25,1
3,41.880653,-87.63648,9:00,17:00,Work,10,Female,1,29,5-Oct-20,1,M,1,41,10:00:00 AM,10,480,1,0.210526316,1
3,41.881997,-87.627485,17:45,18:30,Groceries,1,Female,1,29,5-Oct-20,1,M,1,41,6:00:00 PM,18,45,0.875,0.304347826,0.875
3,41.897865,-87.630874,19:00,23:59,Home,2,Female,1,29,5-Oct-20,1,M,1,41,8:00:00 PM,20,299,1,0.5,1
4,41.880653,-87.63648,9:00,17:10,Work,10,Male,0,26,5-Oct-20,1,M,1,41,10:00:00 AM,10,490,1,0.210526316,1
4,41.881997,-87.627485,17:45,18:40,Groceries,1,Male,0,26,5-Oct-20,1,M,1,41,6:00:00 PM,18,55,1,0.347826087,1
4,41.897865,-87.630874,19:00,23:59,Home,2,Male,0,26,5-Oct-20,1,M,1,41,8:00:00 PM,20,299,1,0.5,1
